Concertation,Débat,Contribution collective,Nombre de participants,user-id,Age,Quartier,Contenu
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56fa958770d796ee13bd1784","45-49 ans","Parc Sud","Il faut rester attentif et vigilant, quant à la privatisation des espaces publiques.
Il suffit de prendre pour exemple les trottoirs et place de parking privatisés par M.BOLLORE et ses véhicules électriques.
Concernant l'architecture, beaucoup de choses à dire. Pas de cohérence architecturale, mauvaise qualité et concentration hurbain au détriment des espaces verts. La majorité des constructions va très mal vieillir.
Pas assez d'immeubles à problème déconstruit. On ne parlera pas de reconstruction urbaine mais d'accumulation urbaine pour certains quartiers.
En revanche, un fort développement des transports en commun dans le cadre de la MGP est une très bonne chose."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56d96facd71853100066df2b","40-44 ans","Centre","""Recoudre les liens, les circulations entre l'université et la ville"" 
Émission en direct et en public proposée par les étudiants en master II d'urbanisme et d'aménagement de l'université Paris Ouest Nanterre La défense, dans le cadre du LABEX (laboratoire d'excellence).
Invités:
-Julien Sage, adjoint au maire de Nanterre, délégué à l'aménagement et à l'urbanisme.
- Michel Laubier, ancien 1er adjoint au Maire chargé de l’urbanisme jusqu’en 2008
- Frédéric Dufaux, maître de conférence en urbanisme à l’Université Paris Ouest Nanterre La Défense.
Assises 2016 : Nanterre change avec vous !
Animé par Juliette Lardin, et Julien Laurent étudiants en master II aménagement et urbanisme à l'université Paris Ouest Nanterre La Défense
http://radioagora-nanterre.fr/broadcast/4534-Recoudre-des-liens-les-circulations-entre-l-universite-et-la-ville"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56d96facd71853100066df2b","40-44 ans","Centre","Plan local d'urbanisme au centre du débat, une initiative a eu lieu à l'Agora le 30 mars 2016. En savoir plus:  http://www.nanterre.fr/actualite/2142/PAG_URL/aHR0cDovL3d3dy5uYW50ZXJyZS5mci8%3D/57-actualite.htm"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56fbdced0672f89b510d8920","45-49 ans","Plateau Mont-Valérien","Pour les logements existants ou à venir, on pourrait développer sur les toits et façades l’installation de panneaux solaires, d’éoliennes et de végétaux (plantes, fruits, légumes). 

On pourrait par ailleurs privilégier les différentes mixités (sociale, d’origine, d’âge) et pour les personnes seules, les personnes aux revenus modestes (et toutes celles qui le souhaitent) développer des lieux de vie en commun au sein même des logements : cuisine, laverie, salon… partagés."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56fbdced0672f89b510d8920","45-49 ans","Plateau Mont-Valérien","Question transport, pour les bus, les autolibs, la flotte automobile communale... pourquoi ne pas penser flotte justement avec des véhicules et des stations hydrogène (le carburant de demain) ?"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"57010a074d4ec26555d4323e","55-59 ans","Université","Les travaux en cours depuis dix ans ne tiennent pas tellement compte des habitants qui subissent plus qu'ils ne participent aux transformations. Le quartier des provinces françaises est défoncé ravagé sans que les habitants soient considérés. Nuisances, gène à la circulation stationnements chamboulés désorganisés, cheminements insécurisés pour les habitants. 
L'accession à la propriété répond elle réellement à la demande des locataires nanterriens? Ou permet elle plutôt l'investissement de propriétaires pour la location privée réduisant ainsi le logement social dont les nanterriens ont besoin?"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Centre social et culturel Hissez Haut : Nanterre bouge - jeudi 24 mars 2016","29","570270504d4ec26555d43266","45-49 ans","Vieux-Pont / Sainte Geneviève","Sur plusieurs aspects, ce thème rejoint celui de la citoyenneté et du vivre ensemble.
Les échanges ont fait ressortir le besoin de créer des lieux de rencontre et de vie, du type « places de village » en favorisant la mixité des lieux pour tout le monde et tous les âges : commerces, aires et terrains de jeux, bancs.
Les gens ont également envie qu’il y ait davantage d’espaces verts, de verdure dans les rues, de jardins partagés mais aussi d’équipements sportifs de proximité et ouverts le weekend, de commerces de proximité dans tous les quartiers.
Il faudrait un habitat moins dense et également réfléchir davantage en amont les aménagements quand on construit de nouveaux quartiers. Exemple : l’aire de jeux, rue Abdelmalek Sayad a été mal pensée. Les architectes devraient penser à des lieux de vie et à des commerces."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Atelier contributif de l'association Acri Liberté le 30 mars 2016","24","56ec41888b36510a51ad4488",,,"Compte-rendu de l'atelier organisé par Acri Liberté autour de trois questions : 
Comment les grands chantiers et projets changent-ils Nanterre et ses quartiers ? La qualité de vie à Nanterre change-t-elle ? Une nouvelle intercommunlaité, ""le territoire 4"", qu'est ce qui change pour Nanterre ? Les participants ont répondu ce qui suit :
- La facilité d'échapper au quartier, par le RER A pour Paris, ou à pied pour la Défense : ""Avec le Pass Navigo j'habite Paris et l'IDF"", ""Les 4Temps, ça va de soi"".
- La facilité de se rendre d'un quartier à un autre par les bus et RER : ""Les transports en commun sont nombreux dès à présent.""
- L'attractivité du centre ville ancien, par ses commerces et ses équipements culturels : ""commerces d'un gros village"", ""réhabilitation réussie"" , ""club des séniors, cinéma des lumières, maison de la musique"".
- L'insuffisance de diversité et le manque de qualité des commerces de proximité : ""commerces tournés vers la clientèle de bureau"", ""difficultés pour survivre à l'extrémité de la Terrasse 17"", ""au nouveau Casino, pas de viande ni de fromage à la coupe"", ""aspect décevant du Carrefour Market par son mauvais acceuil et son environnement mal tenu, sale.""
- Une compensation appréciée avec les marchés forains du vendredi et du dimanche : "" aspect de bazar, de souk devant le RER"", ""souk agréable le vendredi, marché bougeois le dimanche"".
- Une inquiètude devant les rez-de-chaussée inoccupés dans les réalisations nouvelles : ""A Hoche les commerces ne viennent pas"", ""aux Terrasses 10 et 11 des boutiques d'habillement, mais l'alimentation est absente"".
- Une grande perplexité sur une offre commerciale destinée aux habitants dans le projet Coeur de quartier : ""le commerce appelle le commerce, mais le niveau de vie n'est pas là"", ""les loyers élevés ne permettent pas aux commerces de tenir"", ""Le tout bureau amène une grande clientèle et oriente le commerce vers elle.""
- L'aspect très compact et dense des nouvelles constructions d'habitation : ""Au quartier Hoche des bâtiments très proches, trop proches "", ""Densité élevée, pas assez aérée"", ""Il faut des squares au pied des résidences"".
- Au contraire les quartiers plus anciens de tours ou de barres au milieu de la verdure : ""au Parc de grands immeubles aux vues agréables"", ""un quartier agréable avec beaucoup d'espaces verts""
- La préservation du parc Malraux et l'entretien des Terrasses : ""Les installations provisoires sur la plaine de jeux grignotent le parc"", ""il faut être attentif au maintien des espaces verts"", ""la taille des arbustes dans les allées des Terrasses est insuffisante"", ""Quand les buissons débordent les papiers sont là"".
- En lisière des quartiers des vues désagréables : ""l'ex-école d'architecture délabrée à l'entrée du parc"", ""l'état déplorable de la rue en limite des Groues vers la gare Université"", ""le mauvais état du foyer Ravel"".
- Les embarras de la circulation automobile : ""la densité des constructions entraînne une intensification des circulations"", ""l'engagement de mettre à deux fois deux voies le boulevard de La Défense à la mise en service de l'Arena n'est pas tenu par les autorités""."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","L'équipe des Assises à la rencontre des habitants du quartier du Parc  - RER Nanterre préfecture",,"56ec41888b36510a51ad4488",,,"A la question ""Comment trouvez-vous que Nanterre change ?"", les habitants rencontrés ont répondu :
- ""Peu de changement, amélioration de la sécurité, tout se passe bien""
- ""Propreté, rénovation urbaine, moins de deal, plus de sécurité""
 - ""une vile propre, beaucoup de travaux, peu de desserte de bus et difficulté d'accès au bus 160 quand on sort du RER Nanterre Préfecture, aménagement du Parc nord qui semble inachevée""
- ""Cadre de vie très agréable, implantation d'entreprises, pas assez de commerçants, rénovation urbaine, trop de circulation""
- ""pas de changement, amélioration de la sécurité, pas assez d'offre de médecins, beaucoup de circulation""
- ""projets urbains, aménagements, amélioration de la sécurité, pas assez de commerces, une meilleure offre de santé doit être proposée, plus d'actions pour les jeunes et une meilleure desserte des transports""
- ""bonne ambiance, c'est sympa, il faut occuper les jeunes pour éviter les nuisances""
- ""pas beaucoup de commerces le week end""
- ""il y a de plus en plsu de bâtiments et d'immeubles qui se créent"" 
- ""trop de gros immeubles, même si un effort de visuel a été fait sur les nouveaux programmes. Nouvelle gare université très moderne, très agréable""
- ""beaucoup d'associations actives, ville ouverte""
Et vous qu'en pensez-vous ?"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Débat sur les changements dans la cité des Provinces Françaises au Centre Social et Culturel La Traverse","18","5703fd314d4ec26555d4328b","35-39 ans","Université","Débat/échanges mené au centre social et Culturel La Traverse par le groupe aménagement : 
Une partie des échanges concernait aussi le thème deux - pour avoir une vision complète du débat il est important de se référer à la contribution sur la thème de la qualité de vie à Nanterre

Ce qui est vu négativement :
Rejet des maisons sur le toit : sentiment qu’elles ont été réalisées uniquement dans le but d’obtenir les subventions de l’ANRU sans partir des attentes et besoins des habitants.-	Crainte du surpeuplement dans la cité.
-	Sentiment d’étouffement (nouvelles constructions, manque d’espaces verts)
-	Problèmes de stationnements. Comment feront les familles qui disposent de plus d’un véhicule ?
-	L’arrivée de nouveaux habitants pourrait susciter la convoitise et augmenter potentiellement l’insécurité (hausse des cambriolages, retour du trafic).
-	La gare est une coquille vide : le seul café présent propose des tarifs élevés. Pas de point presse. C’est désormais un lieu de passage.
Ce qui est vu positivement
-	L’arrivée de nouveaux commerces (en particulier Casino).
-	Le pôle médical
-	Le ravalement des façades"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"57057e834d4ec26555d432c6","50-54 ans","Université","cela fait deux ans que j'habite un logement social sur le quartier des terrasses.
j'ai toujours habité dans un logement social. j'ai grandi dans la cité Komarov ou j'ai vécu les plus belles années de ma vie..au loin il y avait des prés des vaches des pavillons.
En fait pour moi Nanterre est un village, ce n'est pas une ville peut-être parce que lorsque qu'on va à l'Agora, à la mairie, au marché au théâtre etc..on rencontre toujours quelqu'un que l'on connait comme dans un village!
Alors cette transformation brutale me fait peur.
cependant dans quelques quartiers cette transformation est assez équilibrée au Petit Nanterre, au centre ville....là où c'est le plus visible..les terrasses c'est différent il n'y avait rien c'est mieux sauf que je trouve que la première partie est plus réussie plus de cafés, plus de passage, et PLUS DE VERDURE! Les terrasses 11 et 10 sont tristes! Quant à la terrasse 9 je ne comprends pas du tout pourquoi il y a de si grands balcons : apparemment les architectes et autres promoteurs n'ont pas du rester longtemps dans le quartier : il y a un vent épouvantable, on ne peut rien laisser sur les balcons de plus la proximité avec les terrasses 10 font que l'on vivra directement avec eux...l'avenir ne s'annonce pas sous les meilleurs auspices ...
Ne pas oublier le bruit du RER malgré le coffrage..ce ne sera pas agréable pour les terrasses 9 et 8!!
Le point noir ce sont les provinces françaises : le soleil disparaîtra désormais dans cette ancienne cité, c'est trop étouffant , oppressant ,...ce quartier autrefois ouvert ressemblera à une prison..je ne suis pas la seule à le penser.
Un point positif : la place Mandela qui permet le passage
un point négatif : il n'y a rien sur cette place, personne ne sait que c'est la place Mandela il fait très froid l'hiver et très chaud l'été : insupportable! pourrait-on y poser des grands pots avec des arbustes..faire un bosquet??"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"57057e834d4ec26555d432c6","50-54 ans","Université","je reviens des assises sur le logement..
je cite une phrase du compte rendu ""le logement social est mal adapté au standard actuel""
laissez moi rire! je viens d'emménager aux Terrasses : pas de cellier,  pas de cave des portes qui s'entrechoquent car s'ouvrant sur l'extérieur..alors on s'emplafonne de temps en temps..quant à la cuisine la porte s'ouvre directement dans le salon et se heurte au canapé!!! il y a des prises au milieu du mur (wc), au dessus de l'évier, la douche fait 70x70..on ne peut pas se baisser, laver de tapis et encore moins y mettre une baignoire pour un bébé ....
on me dit que c'est l'architecte ...
conclusion je préfère le standard des années 70 plus adapté à ma, à notre attente, et de plus à cette époque le parking était gratuit!!"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","L'équipe des Assises à la rencontre des habitants du quartier Université le 4 avril 2016","86","56ec41888b36510a51ad4488",,,"A la question : ""Comment trouvez-vous que Nanterre change ?"", les habitants rencontrés ont répondu : 
 - ""Beaucoup de bâtiements nouveaux c'est bien !""
- ""beaucoup de travaux, l'urbanisation  avec de nouveaux logements, c'est bien""
- ""Elle change en bien, en tant que nouvel habitant, ce n'est pas l'image que j'en avais, je suis agréablement surpris, c'est propre et bien fréquenté.""
- ""Il y a de nombreuses améliorations, des transports en plus, la qualité de vie sur La Défense, la coulée verte et la gare université""
- ""Cette perspective de mixité est une bonne chose, une grande amélioration""
- ""Beaucoup de changements, mêm si c'est trop lent, on attend encore devoir les résultats""
- ""Habitante depuis 1 an, je viens de Paris 18ème, le quotidien est bien, c'est propre.""
- ""De manière positive, mélange entre les espaces verts et les bureaux, de la jeunesse avec les étudiants. C'est une ville avec beaucoup de potentiel, si certains ne profitent pas du système.""
- ""Nanterre est de plus en plus moderne de par ses nouvelles constructions""
- ""Elle change en bien""
- ""La ville s'adapte à sa population, ses besoins, bien sûr en tenant compte des enjeux de demain.""
-""Nanterre change en bien, grâce à la nouvelle gare, les logements qui se construisent, l'Arena va apporter la culture""
- ""Beaucoup de nouvelles constuctions, de nouveaux moyens de transport, c'est très bien. plus de sécurité et de présence policière serait une bonne chose""
- ""plutôt en bien mais dommage que les espaces se resserrent""
-""Certains quartiers ont évolué de manière négative, le drogue, moins d'invention dans les quartiers...etc.""         
- ""Nanterre ne change pas vraiment""
- ""Nanterre change de par ses constructions mais les loyers sont trop chers""
-""En mal ! Pourquoi la CAF est-elle devenue un blockhaus ?  Les transports et les abris bus sont insuffisants""
-""Trop de bitume !""
-""Ce quartier évolue, il se modernise, mais je reste méfiante""
-""Très bon changement au niveau de la gare mais n'amène pas forcément plus de convivialité et de bien être pour les habitants""
-"" Ayant habité Nanterre depuis 20 ans j'ai vu les évolutions de cette ville. Enormément d'investissements dans l'immobilier et la construction de la gare Université et des espaces publics. Cette ville change en bien et le Maire apporte beaucoup de satisfaction.""
-  ""Nanterre devient plus beau""
- "" Il y a de nouvelles constructions, il y a aussi moins d'agression donc impression très positive""
- ""Nanterre est une ville propre""
-""Il y a trop de béton, il n'y a pas assez d'animation""
-""aucun changement""
-""En mieux, sauf au niveau du logement. Venez dans les appartements pour constater l'état de dégradation... et les loyers qui en changent pas.""
-""une plus grande ouverture vers l'extérieur""
-""la cité Berthelot est écartée du changement urbain de la nouvelle gare""
-""Oui ça change, j'y suis née. Dans certains quartiers plus que d'autres. Le centre ville c'est super d'avoir aidé à la réhabilitation plutôt que de démolir. Par contre Berthelot, rien en bouge, chez nous ça ne bouge pas.""
- ""trop de bétonnage, inquiètude sur le fait que les nouveaux logements ne bénéficient pas aux personnes les plus en difficulté. Même les revenus moyens accèdent durement aux logements. C'est dur de faire des logements sociaux de qualité sans que cela ne demeure un ghetto.""
-""ça dépend des endroits, améliorations des gens. Activités bien pour les plus petits.""
- ""bien mais stop les constructions""
-""Oui en bien, une belle gare, elle est bien mais cela perturbe nos habitudes avec le bus qui en sont pas à côté. Plus de commerces serait positif""
- ""Je  n'ai pas assez de recul mais attention il faut plus de mixité, éviter la ghettoïsation, favoriser l'ouverture. Attention au communautarisme ! ghettos de riches et de pauvres !"""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","L'équipe des Assises à la rencontre des habitants du quartier Université le 4 avril 2016","86","56ec41888b36510a51ad4488",,,"La suite...

- ""Cela change beaucoup. Aux Provinces Françaises beaucoup de changements en bien. Le projet de photos m'a beaucoup plu (Bruno Boudjellal) dommage que ça n'ait pas duré plus longtemps. C'était quelque chose de nouveau.""
- ""Elle évolue beaucoup mais trop de béton, pas assez de nature. J'ai peur d'être compressée à long terme. Autour des Provinces Françaises on aurait pu mettre moins de bâtiments. Il faut loger les gens mais quand même ...""
-""beaucoup de constructions, les immeubles sont trop grands. Il y a de la démolition donc une partie de l'histoire s'en va.""
-""Nanterre commence à s'embourgeoiser, du fait des nouvelles constructions. Les loyers sont plus chers et moins accéssibles aux nanterriens. La nouvelle population ne partage pas les valeurs de Nanterre, son histoire, son évolution. De ce fait les Nanterriens sont moins privilégiés que les autres.""
-""Cela fait un an que j'habite Nanterre je ne vois pas encore de changements""   
-""ça change avec un esprit de vivre ensemble, il apporte un grand intérêt à la culture ainsi qu'aux habitants""
-""un boom physique pour un avenir plus 21ème siècle !""
-""Transformation de la gare, bonne évolution de l'aménagement urbain, bon travail sur la santé dans les écoles, beaucoup d'aides pour les jeunes tant sur les projets de loisirs que professionnels""
- ""en positif, ça se développe mieux, c'est plus joli, plus classe, plus moderne, il y a plus de choses.""
-""En bien, ça évolue beaucoup depuis 17 ans que je suis là. Je ne souhaite pas quitter Nanterre. J eme sens chez moi."""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56ec41888b36510a51ad4488",,,"Un habitant du centre qui a laissé une contribution écrite : ""Il faudrait trouver une solution pour donner leur place aux bus devant le RER nanterre ville. Seule solution à terme : une rue Maurice Thorez piètonne pour éviter les engorgements devant le parc et les stationnements anarchiques en double file... et des parkings en périphérie du centre ville. Des navettes de minibus sur l'axe Place de la Boule - RER Nanterre ville"""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56ec41888b36510a51ad4488",,,"A la question ""Comment trouvez-vous que Nanterre change ?"", un habitant du chemin de l'île nous dit : ""plus de population, trop de monde, trop bruyante, il faudrait plus de commerces comme à Paris, il n'y a pas assez de mixité sociale et culturelle, il faudrait stopper les constructions et en pas accepter de nouvelles populations, que les bailleurs ne renvoient pas tout le monde à Nanterre, diminuer la population. Parmi les décisions à prendre ce serait de donner les logements aux Nanterriens."""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"570bd4e5c023d07a1d1b8b21","60-64 ans","Parc Sud","les chantiers annoncés dans le quartier Parc Sud doivent être l'occasion d'une amélioration de la qualité de la vie de TOUS. Ce n'est pas en installant le stationnement payant qu'on aidera une population déjà très défavorisée, ni qu'on améliorera la circulation sur Picasso (partie haute). Par contre des sanctions systématiques pour les ""asociaux"" qui se garent systématiquement en double file serait plus éducatif. Notre ville est solidaire, elle doit le rester, y compris avec les aménagements prévus."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Salon urbain au chemin de l'île de 03 avril 2016","11","56ec41888b36510a51ad4488",,,"L' équipe des Assises demande aux habitants ""Comment trouvez-vous que Nanterre change ?""
- ""Il y a des changements bien mais d'autres moins bien. On déplace toute une population (destruction immeuble) d'un endroit à un autre ce qui crée des nuisances dans le nouvel endroit.""
-""Nanterre change en bien. Mais concernant les squares cela reste à améliorer. Les poussettes doubles ou triples ne passent pas (Damades, PVC).""
- ""Suite aux nouvelles constructions, une nouvelle population plus cossue arrive. L'arrivée du tramway sera un vrai plus et du métro aussi. Le Petit Nanterre s'améliore mais attention à faire que toutes les classes de population puissent être logées.""
- A mon avis il n'y a pas d'évolution""
-""Nanterre change beaucoup niveau sécurité et en terme d'infrastructure.""
-"" La population a changé, cela reste positif""
-""Nanterre change de façon positive avce l'arrivée du métro et du tram""
-""Beaucourp de changements sur la bonne voie""
-""Nanterre change de manière exponentielle. Je tiens à ma ville, je la connais, je souhaite qu'elle garde son identité"""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Petit déjeuner citoyen - quartier République","7","56dffe8c0a0ec8392df2f424",,,"La livraison mi décembre du viaduc qui enjambe la voie du RER A, participe largement au désenclavement du secteur Anatole France mais cette fois çi c'est le secteur des Provinces Françaises qui s'éloigne du campus universitaire (avec la suppression de la passerelle de l’ancienne Gare Nanterre Université).
A signaler les nuisances liées aux chantiers qui se déroulent à proximité du secteur Anatole France (gare, école d’ingénieur, rue Anatole France etc.).
Certains secteurs continuent de souffrir d’une image négative (Petit Nanterre, le secteur Anatole France), il faut faire évoluer les mentalités, la réputation que l’on fait à certains quartiers est exagérée. Le petit Nanterre évolue rapidement et de façon positive. Le secteur Anatole France donne l’impression d’être le grand oublié et nécessite une plus grande intervention de la municipalité."
